"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",6577.75823133595,0.449079802101321,0.102511238456159,4.38078603736095,1.18251946534887e-05,0.00010456163987914
"Cdc45",178.55750983429,1.50872177845682,0.24685697107409,6.11172442038919,9.85602754349536e-10,2.49288733867571e-08
"Scml2",7.96854563897559,4.36760676367699,1.80161882450735,2.42426794406486,0.0153392831874981,0.0444169446078886
"Apoh",1.06940247104436,5.34446627233235,4.43962018351314,1.20381159905963,0.228662405519732,NA
"Narf",778.634954275887,-0.0144720433387603,0.151998287079257,-0.095211884402448,0.924146530484765,0.964157223145645
"Cav2",1700.04031763113,-0.688929303763347,0.248507906303826,-2.77226312035747,0.00556680191767583,0.0194011549850381
"Klf6",32322.3900180752,-0.116531551036438,0.247914778838497,-0.470046810369266,0.638321574234247,0.752915780641855
"Scmh1",564.557228862001,-0.33044537776852,0.137684719522475,-2.40001489573126,0.0163944046953077,0.0469060537003244
"Cox5a",904.38495861734,0.423422777840752,0.193495290847149,2.188284665673,0.028648873174041,0.0733371594164922
"Tbx2",324.966335505386,-0.594463665442601,0.471762509290778,-1.26009094350521,0.207636556950597,0.340303675918429
"Tbx4",142.147812912012,-2.56283384536566,0.712146177693887,-3.59874689444347,0.000319754199609354,0.00176889454473618
"Ngfr",60.6170227362202,-2.42065953743521,0.945135517231886,-2.56117719977855,0.010431813353834,0.032416114867514
"Wnt3",0.967606368339865,3.56765950195245,6.24733155880526,0.571069338704144,0.567952641715339,NA
"Wnt9a",37.5976378932078,-0.664949175144793,0.736928375001734,-0.902325378831055,0.366884047832661,0.511830541845565
"Fer",248.383871592945,0.300056058747243,0.340199359264679,0.882000658072363,0.377776451401165,0.522702628950226
"Xpo6",5572.45391544598,-0.267966386867297,0.0884266571956698,-3.03038015193023,0.00244246100670297,0.00973339744237448
"Tfe3",2490.25423973856,0.370346588771818,0.103926659027429,3.56353790488036,0.000365889831607835,0.00197535657629319
"Axin2",249.822084023164,-1.14800909401561,0.334465325536052,-3.43237103031736,0.000598328382211716,0.00298962610333903
"Brat1",638.077515609007,0.00190339457109604,0.185149301254909,0.0102803227351936,0.991797633687669,1
"Gna12",1715.26320874333,-0.291266287031758,0.139495016569442,-2.08800496386738,0.0367973869172138,0.0895372612031568
"Slc22a18",192.220238486977,0.444966292565452,0.276900955238698,1.60695109260954,0.108065097125008,0.208738103538984
"Itgb2l",331.721838133101,-0.746045472258661,0.83807316756318,-0.890191335474798,0.373363156319781,0.51821052681648
"Igsf5",178.784687206706,-1.04157325877945,0.392017780230978,-2.65695412633007,0.00788501717180911,0.0257323805042796
"Pih1d2",62.3171969051935,-1.11262904233351,0.899711195367776,-1.2366513255164,0.21621655643028,0.350980786229213
"Dlat",914.346717392755,-0.126229341002997,0.150717542559402,-0.837522552845807,0.402298905423662,0.546151647090091
"Sdhd",2079.66301561854,0.221176210668145,0.10703314197479,2.06642733818129,0.0387881467921124,0.0932768022945935
"Fgf23",2.29495591897217,0,2.7901804728945,0,1,1
"Fgf6",0.625975636058397,0,6.3426554778844,0,1,NA
"Ccnd2",2088.56302625511,0.547872372466806,0.271793449433176,2.01576739104416,0.043824304907102,0.102722659519319
"Gpr107",1588.80283494176,0.200207848427709,0.105451732967509,1.89857333581608,0.0576205970132331,0.128190702260178
"Nalcn",6.92462682180159,0.391744238019698,1.828542752803,0.214238489868059,0.830361082237567,0.899323554114298
"Btbd17",6.48079735432478,0.310053193600597,1.34420394899855,0.23065933843714,0.817579464938594,0.88978830996821
