"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",6577.75823133595,0.306581481666157,0.102681927643075,2.98573944513238,0.00282893567585453,0.0120146360168275
"Cdc45",178.55750983429,0.708180834391374,0.23742835265204,2.98271384390743,0.00285704980966886,0.0121240378700284
"Scml2",7.96854563897559,-2.02525366002452,1.40296465122985,-1.44355287800671,0.148864788120212,0.280152695653908
"Apoh",1.06940247104436,-0.688931029009379,4.4194263581554,-0.155886980159327,0.876122108170055,NA
"Narf",778.634954275887,0.0903475588319256,0.152326387215382,0.593118240926825,0.553102023733985,0.700464429862933
"Cav2",1700.04031763113,-0.742103911631164,0.249278069763303,-2.97701242767089,0.0029107221102778,0.0123250273263429
"Klf6",32322.3900180752,-0.417033636755011,0.247805024530335,-1.68291033462867,0.0923924506517048,0.195664174964159
"Scmh1",564.557228862001,-0.680009664533173,0.141251633167354,-4.81417205086401,1.4781142210209e-06,1.87664071164384e-05
"Cox5a",904.38495861734,1.18519002945123,0.194046666557929,6.10775773928286,1.01040564046528e-09,2.95672071895499e-08
"Tbx2",324.966335505386,-1.34263182851377,0.470239786096514,-2.85520678643343,0.00430088158217566,0.0170735276220024
"Tbx4",142.147812912012,-2.30408511709604,0.706124920928281,-3.26299929206161,0.00110239795249644,0.00547138062863348
"Ngfr",60.6170227362202,-0.786366826633539,0.845707247482582,-0.929833377890893,0.35245736162004,0.517818772773041
"Wnt3",0.967606368339865,3.49538763334541,6.22366266921767,0.561628709511146,0.574369015622122,NA
"Wnt9a",37.5976378932078,-3.49574075097242,0.761473707103687,-4.59075699969824,4.41641280805655e-06,4.8711443738261e-05
"Fer",248.383871592945,0.174726582217065,0.343323594048556,0.50892681203947,0.610803525497426,0.746792482202868
"Xpo6",5572.45391544598,-0.351203501149046,0.0873905561197036,-4.01878093861748,5.85000280314878e-05,0.000450614557961618
"Tfe3",2490.25423973856,0.839505086471846,0.104033074099199,8.06959799795354,7.05300041287435e-16,8.28807093630175e-14
"Axin2",249.822084023164,-0.832809225016123,0.335827077144734,-2.47987515508525,0.0131428390965823,0.0423786738684724
"Brat1",638.077515609007,-0.0038269067067059,0.185584869895086,-0.0206207904171784,0.983548155636821,0.990902734767477
"Gna12",1715.26320874333,0.568668030907729,0.139414873555633,4.07896242634976,4.52371467822967e-05,0.000359619210101992
"Slc22a18",192.220238486977,0.479620843821041,0.294505345149854,1.62856413888513,0.103405321041086,0.213801000469789
"Itgb2l",331.721838133101,0.938111597854463,0.844354785398704,1.11103959387343,0.266551306968721,0.426051378258759
"Igsf5",178.784687206706,-1.3746590382401,0.410395245462829,-3.34959786556449,0.000809289606075105,0.00424727577345461
"Pih1d2",62.3171969051935,-0.241409118479887,0.930431892383582,-0.259459204328696,0.795280954697829,0.879735137917247
"Dlat",914.346717392755,0.252965450628643,0.152875199647825,1.65471869349243,0.0979815733404395,0.204973097274492
"Sdhd",2079.66301561854,0.539218777420935,0.108166189968262,4.98509541270847,6.19312436297917e-07,8.93742757793181e-06
"Fgf23",2.29495591897217,-1.55305418190524,2.37039764103386,-0.655187195186317,0.512347237557743,NA
"Fgf6",0.625975636058397,2.51588039726981,6.28519962896509,0.400286473905375,0.688945529300298,NA
"Ccnd2",2088.56302625511,0.0280481592471465,0.271949230678529,0.103137483335271,0.917853856237717,0.954246834819681
"Gpr107",1588.80283494176,0.293376070909001,0.106685750706409,2.74990867071226,0.00596118769588362,0.0222409650272058
"Nalcn",6.92462682180159,-1.7989284155133,1.71192887732529,-1.05081959848936,0.293341452779465,0.456545863920559
"Btbd17",6.48079735432478,1.34482588823292,1.40802836556562,0.955112781192224,0.339520666137279,0.505561022395153
"Slfn4",32319.5353655451,1.83595149222893,0.392266317279713,4.68036997150528,2.86357683355903e-06,3.33991360684285e-05
"Scnn1g",79.5802519057056,-1.41413070212713,0.656666589210207,-2.15349878517186,0.0312794994665965,0.0842729352117629
"Drp2",10.8111452135739,-0.559575356230738,1.06829438057781,-0.523802583261816,0.600415856473182,0.73825028879076
"Tspan32",620.566415575506,-0.779597213860206,0.158860834926977,-4.907422362589,9.22811657936912e-07,1.25414116538226e-05
"Lhx2",2.78978030618855,1.58171279254936,1.81604159357993,0.870967271972753,0.383772023284903,NA
