"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",6577.75823133595,-0.973907300747674,0.102084934194343,-9.54016680750961,1.42602756915468e-21,8.53922792272738e-20
"Cdc45",178.55750983429,0.0566457933387242,0.249331447991437,0.227190728626698,0.820275436702116,0.875389880520135
"Scml2",7.96854563897559,-1.32038913791696,1.50794979363865,-0.875618766279276,0.381237319933732,0.490278784929177
"Apoh",1.06940247104436,0.409942726592852,4.5875348311409,0.0893601338588422,0.928795705248477,NA
"Narf",778.634954275887,-0.387028893620654,0.152519700524746,-2.53756657198432,0.0111626135472577,0.0259613820134063
"Cav2",1700.04031763113,-1.19969915236382,0.260466687687454,-4.60596002895924,4.10567254712303e-06,2.29006267805089e-05
"Klf6",32322.3900180752,-0.816525161355066,0.247858301978356,-3.29432242066424,0.000986592610191325,0.00310876127110488
"Scmh1",564.557228862001,0.0714104108746884,0.163085674556625,0.437870530742991,0.661480139124904,0.747579224411246
"Cox5a",904.38495861734,0.333463066623688,0.197910017785518,1.68492262471056,0.0920035008470087,0.155350336510145
"Tbx2",324.966335505386,-1.39692344967303,0.479024873201651,-2.91618145073852,0.00354344357773525,0.0095980034101255
"Tbx4",142.147812912012,-2.87287986692257,0.743539217022765,-3.8637906396195,0.000111640917094719,0.000449815904427267
"Ngfr",60.6170227362202,-1.31638202908487,0.988617741515644,-1.3315379380778,0.183012070420537,0.274105955783668
"Wnt3",0.967606368339865,0,6.34335724256334,0,1,NA
"Wnt9a",37.5976378932078,-2.3713312998483,1.02653349287556,-2.31003792502244,0.0208860545677612,0.0445574866010837
"Fer",248.383871592945,-0.488546220925441,0.352677063459066,-1.38525090385456,0.165975760423357,0.252807813034242
"Xpo6",5572.45391544598,-1.17986779479504,0.0869047109138057,-13.576568892396,5.51500252885284e-42,2.32956687901192e-39
"Tfe3",2490.25423973856,0.107225239969665,0.102543614663655,1.04565496663411,0.295720361543666,0.40123392052834
"Axin2",249.822084023164,-1.43281840940493,0.395813841471902,-3.61993002588476,0.000294682695604549,0.00106808809128096
"Brat1",638.077515609007,0.338881137484061,0.191476726166998,1.76982939006646,0.0767555663072357,0.13373609206419
"Gna12",1715.26320874333,-0.218435269354167,0.143855818894913,-1.51843193436432,0.128905546308275,0.205694061226208
"Slc22a18",192.220238486977,2.08350859424211,0.651099343575201,3.19998570848117,0.0013743440218728,0.00417404250249707
"Itgb2l",331.721838133101,-1.12735546572191,0.834945026012732,-1.35021520052114,0.176946963750312,0.266915552788839
"Igsf5",178.784687206706,-1.96329796654846,0.557735724517886,-3.52012230926316,0.000431347839057215,0.00149431006199089
"Pih1d2",62.3171969051935,-0.538510969835679,1.06014972230372,-0.507957469125671,0.61148317032319,0.704108927207038
"Dlat",914.346717392755,0.9272496139076,0.165004564443171,5.61953917479024,1.91467462805643e-08,1.71290496633623e-07
"Sdhd",2079.66301561854,-0.818908643562981,0.10930023735405,-7.49228604975796,6.76842065652061e-14,1.51119494915372e-12
"Fgf23",2.29495591897217,-2.50113716918196,2.62683174191625,-0.952149743461453,0.34102104450952,NA
"Fgf6",0.625975636058397,1.8941790598033,6.26150284700675,0.302511889890587,0.762261870978743,NA
"Ccnd2",2088.56302625511,0.162938620927809,0.274039192641991,0.594581451495789,0.552123281717992,0.651402941795916
"Gpr107",1588.80283494176,0.569891737034419,0.109503995392753,5.20430085669857,1.94728314913595e-07,1.44374233101735e-06
"Nalcn",6.92462682180159,-5.25324002605662,2.06948129126428,-2.53843320460622,0.0111350056392611,0.0259048828722852
"Btbd17",6.48079735432478,0.501682233329405,1.59258411330908,0.315011451600511,0.752752959076394,0.822596559740244
"Slfn4",32319.5353655451,-1.76505089677615,0.391760344547689,-4.50543532887181,6.62370101146361e-06,3.49854082825836e-05
"Scnn1g",79.5802519057056,-2.52454261868579,0.745102561400294,-3.3881813718924,0.000703577226035304,0.00230046202211418
"Drp2",10.8111452135739,-0.213319493335865,1.21061910815575,-0.17620694395022,0.860131365661582,0.907268213128492
"Tspan32",620.566415575506,-0.268736565317011,0.170409769797301,-1.57700210285284,0.114795041218226,0.186558354913138
"Lhx2",2.78978030618855,0,2.27864304887504,0,1,NA
"Clec2g",6.04595960987141,-1.99315534231646,1.59858634010614,-1.24682370436377,0.212462146814067,0.309350744601924
"Gmpr",315.591456531618,1.45108397739271,0.646403773765617,2.24485690876994,0.0247773200209732,0.0514746851793339
"Glra1",5.5612963169484,-0.440622469663338,1.5192310687846,-0.290029922845008,0.771793345853149,0.837373009534111
"Mid2",357.704477151729,-2.31596173601896,0.540800245029,-4.28247168396673,1.84828658802191e-05,8.88553401543969e-05
"Trim25",12371.7598960087,0.677411019027541,0.143946153740218,4.70600291446532,2.5262090731336e-06,1.47431372681124e-05
"Dgke",833.829619468062,0.0111394269585107,0.208403285020471,0.0534513021587759,0.957372330390152,0.975317230794921
"Scpep1",3141.131102717,-0.632444880664477,0.169883921772316,-3.72280598461872,0.000197020917801273,0.000748660326845635
"Mnt",1973.88545095868,-1.21005528520697,0.149084107277786,-8.1165947685644,4.79446348000852e-16,1.40850882949348e-14
"Itgb2",26787.2679843828,-0.856425633994225,0.384003343828849,-2.23025566771089,0.0257304744876097,0.0531652017142851
"Hddc2",158.380201852343,-0.550463891528625,0.345099174349496,-1.59508898439481,0.110692338442215,0.181096049148266
"Tpd52l1",35.5799220274603,3.67688332603706,1.44679230788736,2.54140370113394,0.0110408355905494,0.0257279289465777
"Pemt",26.6355746940161,2.70847974324585,1.21206748925834,2.23459482846385,0.0254439606705763,0.0526846398145784
"Cdh1",5968.00748120146,1.3754789349867,0.344927383935362,3.98773480752244,6.67071694798428e-05,0.000283229109426912
"Cdh4",54.5450901873194,-4.13427782888295,1.02470106935272,-4.03461843900921,5.46910980537728e-05,0.000235793101120471
"Ckmt1",225.916606960964,-1.13997337677317,0.597090295408112,-1.9092143776914,0.0562344422976829,0.102890201202351
"Bcl6b",129.071810926289,-2.84492479532614,0.683384733760078,-4.16299143774103,3.14105150528812e-05,0.00014371046245945
"Clec10a",343.282382516524,0.0380653893888602,0.813076442240901,0.0468164952411474,0.962659482147189,0.978881265223059
"Alox12",48.3385204106793,0.32438908343785,0.896483802531541,0.361846006053676,0.717467110472203,0.793692912625287
"Arvcf",199.381222148345,-1.04136352967551,0.308907724053858,-3.37111521851734,0.00074864539754898,0.00243255278966591
"Comt",1570.03013701742,0.759036272338586,0.252399115551398,3.0072857849774,0.00263591828502704,0.00738226400024147
"Rtca",253.439295546384,1.19777153290768,0.27048728802811,4.42819897984709,9.50232193723472e-06,4.83594234962688e-05
"Dbt",393.138406218843,-0.0545094144296984,0.233858377937664,-0.233087285178331,0.815693627972359,0.872024757604939
"Dazap2",15990.2073112186,-0.753586239475372,0.097193115494638,-7.75349401693936,8.93980042551768e-15,2.25322659160751e-13
"Mcts1",743.922677107946,0.133666098551949,0.220960947995897,0.604930870202597,0.545224930576298,0.644877271417022
"Rem1",46.2233072590154,-0.917745969747441,0.739397188240539,-1.2412083577587,0.214528788133907,0.311691961489712
"Rnf17",12.9807068490476,0.131027360425573,1.41598711397175,0.0925342887182429,0.926273549619233,0.953016521044892
"Trappc10",2614.94799845261,0.463233500534129,0.128760181050211,3.59764561338638,0.000321110730314955,0.00115265034545072
"Ccm2",1961.73325206478,-1.19502661441877,0.159227646362646,-7.50514525409149,6.1360522878364e-14,1.37986131232511e-12
"Tbrg4",1067.4910257768,0.155542996804783,0.160377182563215,0.969857396911645,0.332117578309098,0.44052156763073
"Tmprss2",1354.22460618421,0.290199385096313,0.438936156042046,0.661142585548398,0.5085208772085,0.611594674097087
"Fap",59.9390584700523,-0.785141127714097,0.469453821535945,-1.67245656909405,0.0944343251943278,0.15864926028831
"Gcg",0.794646817095372,3.07147081395692,6.25756031107155,0.490841583823418,0.62353849614335,NA
"Ndufa9",948.509428967451,1.27115979738125,0.14753734117497,8.61585133131642,6.94237931127243e-18,2.67907274705869e-16
"Egfl6",2886.43263332077,-5.53038049793402,1.0005076037013,-5.52757468056694,3.24688029180421e-08,2.79897915502526e-07
"Lck",1295.43502671096,-0.912271103506471,0.39726569791904,-2.29637521760659,0.0216544367077204,0.0459458581733589
"Tssk3",7.49882411702394,0.297563556593256,1.24961633131926,0.238123933831041,0.811784972060005,0.869118189363325
"Cttnbp2",12.7100330780009,-3.62253381269483,1.22300072724259,-2.96200462681841,0.00305643190996198,0.00843378783912356
"Galnt1",2353.24298599184,0.143314625085192,0.100671550788352,1.42358614685981,0.154566308348712,0.238189393924474
"Mkrn2",511.694267527098,-0.614909319546604,0.190933951603865,-3.22053419196168,0.00127951928577276,0.00392186838935917
"Pparg",843.029621787497,0.259790006352967,0.552088969629519,0.470558226380251,0.637956244699942,0.727216638719904
"Raf1",3060.54665571302,-1.20924480253132,0.141601588925286,-8.5397685980018,1.34490890623951e-17,4.95744841877768e-16
"Sept1",1782.00237427483,-0.195859669432152,0.281796243110786,-0.69504003059101,0.487030215151982,0.591850962803073
"Pdgfb",890.031635242973,-0.498420053993757,0.287273473308542,-1.73500201133585,0.0827404489545726,0.142401770367913
"Acvrl1",2689.61552140572,-2.59750329025721,0.397988949909589,-6.52657138055536,6.72922550126263e-11,9.57979830512325e-10
"Grasp",934.806869215381,-0.947734310395705,0.282557056400953,-3.35413428518612,0.000796137160979776,0.00256870926691844
"Acvr1b",1373.60786325775,0.598818087605965,0.156887413215279,3.81686507115949,0.000135158034062249,0.00053316126056509
"Tom1l2",1213.72409706133,-0.568375604142544,0.156750934471732,-3.62597904795931,0.000287868696120844,0.0010458158651029
"Gpa33",106.671720141203,5.12132877615305,1.37980945614418,3.71162029173533,0.000205936758343632,0.000779696123098987
"Zfp385a",1094.33669277815,0.642810604514203,0.262702524965184,2.44691445047738,0.0144085034385115,0.0323178100230333
"Itga5",4062.38128398928,1.57969808473178,0.247415595258369,6.38479592639318,1.71626188310786e-10,2.26932800093847e-09
"Gabra2",0.19702596922437,0,6.34335724256334,0,1,NA
"Wdr77",473.998093122019,-0.415868683205752,0.225458501727814,-1.84454646872359,0.0651035401971096,0.116365877143256
"Adora3",50.3843404234845,-1.21192081816079,0.690484396923669,-1.75517480707789,0.0792294117277985,0.137260327654657
"Atp5pb",2520.5005722956,0.32542462413461,0.115637056114218,2.81418980273225,0.00489003465018586,0.0127207642389738
"Sox9",225.34423926279,1.78464615647942,0.572574926631985,3.11687793766505,0.00182777232671264,0.00537464791988559
"Hnrnpd",3569.38689181792,0.864707573064826,0.0821209893260153,10.5296779807655,6.30497971054874e-26,5.90063041294409e-24
"Dynlt1c",11.7767361118489,0.0306560861945444,0.868341956904661,0.0353041632398171,0.97183720361657,0.984498551680281
"C1d",620.575188388081,0.114084510901062,0.155581272248794,0.733279200330917,0.46338815838121,0.570079780174743
"Gm2a",12191.1363842128,-0.885315068865078,0.165882105367102,-5.33701369961425,9.44899031782844e-08,7.40984795169797e-07
"Krit1",1517.24860177436,-0.284351382358322,0.103026772359458,-2.75997564367277,0.0057805671012134,0.0147116891751937
"Clcn4",2822.19428128761,-0.505092095977104,0.128016581199401,-3.94552089459695,7.96266876888069e-05,0.000332394631914627
"Grm6",13.3324158758154,-3.13079436124687,1.51424308147319,-2.06756391992292,0.038681047761846,0.0750802403713227
"Sema4f",624.79770802538,-1.90244732300956,0.43901604258877,-4.33343463211799,1.4680088301854e-05,7.20814012157324e-05
"Hk2",4722.89008970948,2.91871685824133,0.290742033742289,10.0388541026319,1.0286210403892e-23,7.8805481569818e-22
"Myo18a",3672.36748461906,0.404573053379168,0.133094493325586,3.03974299214221,0.00236780109933867,0.00671134627884732
"Sez6",0.895509500240275,0.409943467570655,4.17499132439308,0.0981902561510709,0.921781219540449,NA
"Haao",742.03933257728,-1.12592517336242,0.332665612462364,-3.38455533479523,0.000712936471661282,0.00232668283892132
"Cd52",8951.26846712811,-0.616402362168623,0.217484528331485,-2.83423545986276,0.00459354723970469,0.012033615455807
"Abhd15",97.36041398663,0.193735913684672,0.58205420326256,0.332848577673237,0.73924858722227,0.81207334910313
"Hoxb6",16.8506804552128,0.0463134934237257,1.35444193650042,0.0341937828234922,0.972722624231742,0.985012433207069
"Loxl3",152.71991819561,0.0263143384673699,0.516485812498,0.0509488118175013,0.959366309782638,0.976532988995454
"Btn1a1",0.957604684699538,-4.19289957835204,5.57856786693187,-0.751608598903372,0.452286470665221,NA
"Kat2b",1612.26789301774,-0.391590615400485,0.139086984433099,-2.81543680738034,0.0048710975722111,0.0126799440299946
"Rab5b",1148.30794554905,0.0751332272871904,0.160581514794982,0.467882168026094,0.639868856163169,0.728953302206733
"Cryba1",1.6194952629701,0.958076141536087,1.79544496927645,0.53361487426829,0.593608015165651,NA
"Dnmt3l",13.8718984323217,1.62406988764946,1.00023450872015,1.62368911839239,0.104442174573361,0.1724410253969
"Aire",6.23793183010129,-1.70070341273769,1.72414146426914,-0.986405957969704,0.323933942581197,0.431534571138896
"Icosl",2830.09387508378,1.51074982328875,0.258603696236399,5.84194984555718,5.15933411988575e-09,5.17224072865262e-08
"Spg7",1462.42111345325,0.102933750905987,0.123736263556921,0.831880226112017,0.405476554255128,0.514132165053821
"Sult5a1",42.9560290345182,-3.12776400017455,0.815237527876581,-3.8366290721691,0.000124734652042102,0.000495924160968203
"Rpl13",2898.55311002824,-0.216736181072576,0.191203188921374,-1.13353852671203,0.256988171681537,0.359479829518549
"Chmp1a",1878.74266398555,-0.0867796679584296,0.119194878812998,-0.728048627781874,0.466583819484222,0.573334264857214
"Rpa1",1312.03029888733,0.309080374117851,0.192176738005766,1.60831314614455,0.107766612911215,0.177125291112564
"Serpinf1",462.550027349093,-2.87780882761556,0.658462238981256,-4.37049941097302,1.23962688983765e-05,6.18981746366537e-05
"Tubgcp3",1856.51158816514,0.534112592010029,0.119309592922124,4.47669444617632,7.580762421028e-06,3.9506414097448e-05
"Oprm1",8.69360946181322,-1.75423966312967,1.38485550343172,-1.26673119237538,0.205251422675368,0.301162057664649
"Polr3d",406.361845104032,0.552583573908962,0.281024874232274,1.96631552782847,0.049262174244329,0.0918757185279973
"Tcf7",2068.06330443989,-1.42557629606811,0.38200102407822,-3.73186511608986,0.000190067271898989,0.000723840374803409
"Ddx3x",31053.7605680348,-0.582823783916646,0.152677358847459,-3.81735568597927,0.000134889639651604,0.000532236853853806
"Il12rb1",88.5705246783073,-0.351701975283843,0.689940436325217,-0.509757012006847,0.610221705782986,0.703179578171905
"Slc5a5",3.23910737967862,2.10254206513533,1.84041635089241,1.14242739916748,0.253276407756371,0.355337251061429
