"","SRR1528711","SRR1528712","SRR1528713","SRR1528714","SRR1528715","SRR1528716","SRR1528717","SRR1528718","SRR1528719","SRR1528720","SRR1528721","SRR1528722","SRR1528723","SRR1528724","SRR1528725","SRR1528726","SRR1528727","SRR1528728","SRR1528729","SRR1528730","SRR1528731","SRR1528732","SRR1528733","SRR1528734","SRR1528735","SRR1528736","SRR1528737"
"Gnai3",5010,5765,5676,4884,4965,4057,3883,4940,3939,6441,6286,6506,9248,8077,8386,9755,6455,9381,3057,3727,4065,4572,6004,4755,3433,4944,3798
"Pbsn",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cdc45",199,175,160,371,384,103,98,87,112,147,167,116,118,72,91,436,298,388,80,97,50,292,393,200,137,224,163
"Scml2",21,15,9,2,12,0,5,32,0,3,0,4,8,0,4,5,26,3,1,0,0,9,2,4,23,34,8
"Apoh",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,6,19,0,0,0,1,2,0,4,0,0
"Narf",457,414,610,339,496,818,733,935,695,779,835,728,629,640,834,1138,877,1271,501,653,782,699,1039,695,615,772,814
"Cav2",1414,1497,1962,2900,3108,1019,1364,4730,2663,167,119,237,300,182,352,4250,2835,3779,3476,3074,3521,1503,1713,1129,1705,2320,3016
"Klf6",37271,42784,45434,32312,32901,61335,58563,81709,49244,16042,18652,19595,20922,23017,21325,26396,9483,21340,7044,14551,13783,27801,33372,24294,28398,36451,45895
"Scmh1",581,627,554,403,501,507,492,514,463,205,219,183,165,87,143,1752,1382,1432,1010,1159,1187,515,731,439,846,963,789
"Cox5a",1721,1783,1281,2146,2027,995,655,721,508,688,518,567,261,369,325,1644,1068,1575,546,721,577,1207,1304,1234,505,611,514
"Tbx2",39,76,38,178,160,109,247,342,361,88,69,149,135,112,327,573,330,356,387,232,472,368,958,169,1472,911,951
"Tbx4",18,15,3,72,23,9,61,152,122,8,8,25,62,53,97,102,67,20,96,125,453,129,290,65,815,826,532
"Zfy2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ngfr",228,244,83,24,9,121,195,77,57,6,0,6,2,6,13,0,11,2,14,1,30,104,78,51,124,99,167
"Wnt3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,12,0,0,2,0
