"","celltype","condition"
"SRR1528711","macrophage","tumour"
"SRR1528712","macrophage","tumour"
"SRR1528713","macrophage","tumour"
"SRR1528714","macrophage","control"
"SRR1528715","macrophage","control"
"SRR1528716","monocyte","tumour"
"SRR1528717","monocyte","tumour"
"SRR1528718","monocyte","control"
"SRR1528719","monocyte","control"
"SRR1528720","neutrophil","tumour"
"SRR1528721","neutrophil","tumour"
"SRR1528722","neutrophil","tumour"
"SRR1528723","neutrophil","control"
"SRR1528724","neutrophil","control"
"SRR1528725","neutrophil","control"
"SRR1528726","epithelial","tumour"
"SRR1528727","epithelial","tumour"
"SRR1528728","epithelial","tumour"
"SRR1528729","epithelial","control"
"SRR1528730","epithelial","control"
"SRR1528731","epithelial","control"
"SRR1528732","lung","tumour"
"SRR1528733","lung","tumour"
"SRR1528734","lung","tumour"
"SRR1528735","lung","control"
"SRR1528736","lung","control"
"SRR1528737","lung","control"
